"AGEP","SCHL","SSP","WAGP","WKHP","DIS","HICOV","PERNP","PINCP","POVPIP","POVERTY"
50,"21",0,60000,45,2,1,60000,61200,284,FALSE
48,"18",0,7000,15,2,1,7000,7000,284,FALSE
22,"19",0,5000,20,2,1,5000,5000,284,FALSE
18,"15",300,0,NA,1,1,0,300,284,FALSE
57,"18",0,50000,50,1,1,50000,92600,501,FALSE
56,"16",0,26900,40,2,1,26900,26900,501,FALSE
29,"16",0,17900,40,2,1,17900,17900,501,FALSE
26,"18",0,28300,40,2,1,28300,28300,501,FALSE
71,"21",19600,0,NA,1,1,0,47700,442,FALSE
72,"18",18000,0,NA,1,1,0,18000,442,FALSE
30,"16",0,14700,20,2,1,14700,14700,186,FALSE
31,"20",0,40000,40,2,1,40000,40000,186,FALSE
12,"10",NA,NA,NA,2,1,NA,NA,186,FALSE
8,"05",NA,NA,NA,2,1,NA,NA,186,FALSE
6,"02",NA,NA,NA,2,1,NA,NA,186,FALSE
66,"18",7600,1600,6,2,1,1600,9200,450,FALSE
68,"19",4000,0,NA,2,1,0,57550,450,FALSE
66,"22",11000,0,NA,2,1,0,36400,501,FALSE
70,"16",13800,0,NA,2,1,0,49400,501,FALSE
63,"21",0,0,24,2,1,17500,17500,97,TRUE
77,"22",0,0,NA,2,1,0,-1300,97,TRUE
30,"21",0,41900,40,2,1,41900,41900,274,FALSE
27,"21",0,27000,40,2,1,27000,27000,274,FALSE
7,"03",NA,NA,NA,2,1,NA,NA,274,FALSE
3,"02",NA,NA,NA,2,1,NA,NA,274,FALSE
72,"23",21000,0,NA,2,1,0,21000,203,FALSE
73,"22",9200,0,NA,2,1,0,9200,203,FALSE
56,"19",0,21000,40,2,1,21000,43200,334,FALSE
63,"21",16800,0,NA,2,1,0,55650,501,FALSE
38,"20",0,38000,40,1,1,38000,38000,501,FALSE
59,"16",0,75000,50,2,1,75000,75000,501,FALSE
30,"22",0,60000,40,2,1,75000,75000,501,FALSE
41,"21",0,45000,40,2,1,45000,45000,501,FALSE
5,"02",NA,NA,NA,2,1,NA,NA,501,FALSE
69,"21",7600,0,NA,2,1,0,42600,355,FALSE
61,"18",0,25000,40,2,1,25000,25000,364,FALSE
59,"17",0,36000,40,1,1,36000,36000,364,FALSE
54,"12",0,1e+05,40,2,1,1e+05,1e+05,501,FALSE
71,"10",0,0,NA,2,1,0,6600,501,FALSE
46,"15",0,0,NA,2,2,0,0,0,TRUE
31,"19",0,15000,32,2,1,15000,33000,208,FALSE
30,"19",0,19400,40,2,1,19400,19400,208,FALSE
11,"07",NA,NA,NA,2,1,NA,NA,208,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,208,FALSE
38,"20",0,13200,45,2,1,13200,20700,310,FALSE
36,"16",0,56000,40,1,1,56000,59000,310,FALSE
18,"15",0,700,20,2,1,700,700,310,FALSE
15,"13",0,0,NA,2,1,NA,10,310,FALSE
40,"18",0,28000,48,2,1,28000,28000,269,FALSE
51,"16",0,40000,40,2,1,40000,40000,269,FALSE
13,"11",NA,NA,NA,2,1,NA,NA,269,FALSE
9,"07",NA,NA,NA,2,1,NA,NA,269,FALSE
48,"21",0,1e+05,50,2,1,1e+05,1e+05,342,FALSE
45,"21",0,0,NA,2,1,0,0,342,FALSE
17,"14",0,500,15,2,1,500,500,342,FALSE
12,"08",NA,NA,NA,2,1,NA,NA,342,FALSE
10,"07",NA,NA,NA,2,1,NA,NA,342,FALSE
50,"23",0,243000,40,2,1,243000,243000,501,FALSE
47,"19",0,0,NA,2,1,0,0,501,FALSE
24,"21",0,0,NA,2,1,0,0,501,FALSE
5,"01",NA,NA,NA,2,1,NA,NA,501,FALSE
4,"01",NA,NA,NA,2,1,NA,NA,501,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,501,FALSE
28,"20",0,42000,40,2,1,42000,42000,501,FALSE
44,"21",0,82000,45,2,1,82000,82000,272,FALSE
42,"19",0,90,7,2,1,90,90,272,FALSE
21,"16",0,0,NA,1,1,0,0,272,FALSE
17,"14",0,0,NA,2,1,0,0,272,FALSE
14,"11",NA,NA,NA,2,1,NA,NA,272,FALSE
39,"21",0,0,NA,2,2,0,0,54,TRUE
38,"21",0,0,30,2,2,16000,16000,54,TRUE
19,"15",0,5000,40,2,2,5000,5000,54,TRUE
14,"11",NA,NA,NA,2,2,NA,NA,54,TRUE
12,"10",NA,NA,NA,2,2,NA,NA,54,TRUE
10,"08",NA,NA,NA,2,2,NA,NA,54,TRUE
1,NA,NA,NA,NA,2,1,NA,NA,54,TRUE
67,"18",1400,40000,50,2,1,40000,41400,345,FALSE
20,"19",0,8500,25,2,1,8500,8500,159,FALSE
23,"19",0,18000,25,2,1,18000,18000,159,FALSE
65,"19",0,58000,43,2,1,58000,68800,501,FALSE
62,"16",0,25700,33,2,1,25700,25700,501,FALSE
64,"19",0,55000,40,1,1,55000,103000,501,FALSE
63,"15",0,0,NA,2,2,0,0,501,FALSE
48,"18",0,30000,35,2,1,30000,30000,462,FALSE
38,"16",0,85000,46,2,1,85000,85000,462,FALSE
11,"07",NA,NA,NA,2,1,NA,NA,462,FALSE
5,"02",NA,NA,NA,2,1,NA,NA,462,FALSE
40,"24",0,140000,45,2,1,140000,140000,428,FALSE
38,"21",0,0,2,2,1,1100,1100,428,FALSE
11,"08",NA,NA,NA,2,1,NA,NA,428,FALSE
9,"06",NA,NA,NA,2,1,NA,NA,428,FALSE
7,"03",NA,NA,NA,2,1,NA,NA,428,FALSE
5,"02",NA,NA,NA,2,1,NA,NA,428,FALSE
49,"22",0,150000,40,2,1,150000,150000,501,FALSE
46,"20",0,1100,6,2,1,1100,1100,501,FALSE
26,"18",0,13000,45,1,1,13000,13000,501,FALSE
22,"19",0,8000,45,2,1,8000,8000,501,FALSE
17,"14",0,1000,40,2,1,1000,1000,501,FALSE
44,"22",0,150000,40,2,1,150000,150000,501,FALSE
45,"21",0,0,NA,2,1,0,0,501,FALSE
20,"19",0,6000,40,2,1,6000,6000,501,FALSE
17,"14",0,2000,10,2,1,2000,2000,501,FALSE
14,"11",NA,NA,NA,2,1,NA,NA,501,FALSE
55,"22",0,109000,44,2,1,109000,109000,501,FALSE
57,"20",0,48000,40,2,1,48000,48000,501,FALSE
23,"20",0,7200,27,2,1,7200,7200,501,FALSE
92,"21",14400,0,NA,1,1,0,15600,501,FALSE
82,"19",0,0,NA,1,1,0,0,501,FALSE
24,"19",0,29200,44,2,1,29200,27900,162,FALSE
2,NA,NA,NA,NA,2,2,NA,NA,162,FALSE
19,"16",0,9600,40,2,2,9600,9600,73,TRUE
51,"16",0,0,45,1,2,40000,40000,501,FALSE
51,"16",0,0,20,2,2,60000,60000,501,FALSE
92,"23",17300,0,NA,2,1,0,93100,501,FALSE
87,"18",9200,0,NA,2,1,0,9200,501,FALSE
36,"19",0,65000,41,2,1,65000,65000,304,FALSE
32,"20",0,24000,24,2,1,24000,24000,304,FALSE
3,"01",NA,NA,NA,2,1,NA,NA,304,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,304,FALSE
0,NA,NA,NA,NA,2,1,NA,NA,304,FALSE
20,"19",0,0,NA,2,1,0,0,0,TRUE
21,"20",0,14400,15,2,1,14400,14400,110,FALSE
21,"19",0,0,NA,2,1,0,0,0,TRUE
20,"19",0,0,NA,2,1,0,0,0,TRUE
24,"19",0,4500,12,2,1,4500,4500,501,FALSE
26,"21",0,50000,40,2,1,50000,50000,501,FALSE
56,"21",0,70000,40,2,1,70000,70000,501,FALSE
49,"21",0,10000,25,2,1,10000,10000,228,FALSE
49,"22",0,60000,40,2,1,60000,60000,228,FALSE
18,"15",0,0,NA,2,1,0,0,228,FALSE
15,"12",0,0,NA,2,1,NA,0,228,FALSE
12,"09",NA,NA,NA,2,1,NA,NA,228,FALSE
48,"20",0,80000,40,2,1,80000,80000,377,FALSE
41,"19",0,1500,20,2,1,1500,1500,377,FALSE
53,"20",0,35000,45,2,1,35000,35000,377,FALSE
19,"18",0,1500,40,2,1,1500,1500,377,FALSE
4,"02",NA,NA,NA,2,1,NA,NA,377,FALSE
70,"19",9000,0,NA,2,1,0,24800,499,FALSE
70,"19",18000,0,NA,2,1,0,18000,499,FALSE
37,"18",0,14000,40,2,2,14000,14000,499,FALSE
37,"18",0,70000,40,2,2,70000,70000,499,FALSE
66,"23",0,2e+05,50,2,1,2e+05,220000,501,FALSE
65,"20",0,0,NA,2,1,0,0,501,FALSE
44,"11",0,6000,40,2,1,6000,6000,18,TRUE
17,"07",0,3000,50,2,1,3000,3000,18,TRUE
16,"08",0,0,NA,2,1,0,0,18,TRUE
14,"10",NA,NA,NA,2,1,NA,NA,18,TRUE
13,"07",NA,NA,NA,2,1,NA,NA,18,TRUE
11,"06",NA,NA,NA,2,1,NA,NA,18,TRUE
9,"04",NA,NA,NA,2,1,NA,NA,18,TRUE
3,"01",NA,NA,NA,2,1,NA,NA,18,TRUE
3,"01",NA,NA,NA,2,1,NA,NA,18,TRUE
0,NA,NA,NA,NA,2,1,NA,NA,18,TRUE
54,"16",0,0,60,2,1,25000,25000,251,FALSE
43,"19",0,0,25,2,1,25000,25000,251,FALSE
13,"10",NA,NA,NA,2,1,NA,NA,251,FALSE
65,"22",0,0,NA,2,1,0,44900,501,FALSE
68,"21",15500,0,NA,1,1,0,37900,501,FALSE
36,"19",0,112000,40,2,1,112000,112000,379,FALSE
32,"19",0,0,NA,2,1,0,0,379,FALSE
9,"06",NA,NA,NA,2,1,NA,NA,379,FALSE
8,"05",NA,NA,NA,2,1,NA,NA,379,FALSE
4,"01",NA,NA,NA,2,1,NA,NA,379,FALSE
68,"21",19200,0,NA,2,1,0,34100,300,FALSE
68,"20",10800,0,NA,1,1,0,10800,300,FALSE
51,"17",0,70000,40,2,1,70000,70000,501,FALSE
23,"16",0,11200,42,2,1,11200,11200,56,TRUE
9,"07",NA,NA,NA,2,1,NA,NA,56,TRUE
4,"01",NA,NA,NA,2,1,NA,NA,56,TRUE
27,"16",0,27300,42,2,1,27300,27300,211,FALSE
30,"15",0,8300,30,2,1,8300,8300,32,TRUE
11,"08",NA,NA,NA,2,1,NA,NA,32,TRUE
5,"01",NA,NA,NA,2,1,NA,NA,32,TRUE
4,"01",NA,NA,NA,2,1,NA,NA,32,TRUE
31,"15",0,26000,40,2,1,26000,26000,201,FALSE
36,"22",0,113000,45,2,1,113000,113430,501,FALSE
39,"24",0,80000,40,2,1,80000,80000,501,FALSE
5,"02",NA,NA,NA,2,1,NA,NA,501,FALSE
69,"22",23000,0,NA,2,1,0,59000,501,FALSE
66,"22",1800,0,NA,2,1,0,25800,501,FALSE
23,"16",0,45000,45,2,1,45000,45000,351,FALSE
27,"16",0,31500,40,2,1,31500,31500,248,FALSE
7,"03",NA,NA,NA,2,1,NA,NA,248,FALSE
4,"01",NA,NA,NA,2,1,NA,NA,248,FALSE
23,"16",0,28000,40,2,1,28000,28000,248,FALSE
25,"16",0,26000,40,2,1,26000,26000,248,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,248,FALSE
68,"20",19000,0,NA,2,1,0,35000,288,FALSE
66,"19",8000,0,NA,2,1,0,8000,288,FALSE
40,"20",0,15000,25,2,1,15000,15000,88,TRUE
16,"12",0,0,NA,2,1,0,0,88,TRUE
28,"21",0,0,NA,2,2,0,0,192,FALSE
27,"22",0,40000,80,2,2,40000,48400,192,FALSE
1,NA,NA,NA,NA,2,2,NA,NA,192,FALSE
0,NA,NA,NA,NA,2,2,NA,NA,192,FALSE
55,"16",0,39000,40,2,1,39000,39000,501,FALSE
53,"16",0,27000,40,2,1,27000,27000,501,FALSE
27,"20",0,38000,40,2,1,38000,38000,501,FALSE
88,"23",19000,0,NA,1,1,0,29000,242,FALSE
77,"21",19800,0,NA,2,1,0,31000,263,FALSE
32,"21",0,140000,40,2,1,140000,138700,501,FALSE
30,"21",0,23000,15,2,1,23000,23000,501,FALSE
5,"02",NA,NA,NA,2,1,NA,NA,501,FALSE
3,"02",NA,NA,NA,2,1,NA,NA,501,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,501,FALSE
37,"21",0,23900,40,2,1,53900,58900,301,FALSE
38,"21",0,40000,50,2,1,40000,40000,301,FALSE
8,"04",NA,NA,NA,2,1,NA,NA,301,FALSE
6,"02",NA,NA,NA,1,1,NA,NA,301,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,301,FALSE
10,"06",NA,NA,NA,2,1,NA,NA,301,FALSE
46,"22",0,32000,30,2,1,44000,44000,184,FALSE
47,"16",0,100,20,2,1,100,100,184,FALSE
15,"10",0,0,NA,1,1,NA,2600,184,FALSE
12,"09",NA,NA,NA,2,1,NA,NA,184,FALSE
26,"21",0,23000,25,2,2,23000,23000,192,FALSE
24,"19",0,9000,20,2,1,9000,9000,192,FALSE
24,"21",0,25000,50,2,1,25000,25000,193,FALSE
24,"20",0,25000,40,2,1,25000,25000,193,FALSE
62,"21",0,120000,40,2,1,120000,120000,501,FALSE
62,"22",0,45000,30,2,1,45000,45000,501,FALSE
38,"21",0,72000,45,2,1,72000,72000,265,FALSE
37,"21",0,18000,30,2,1,15500,15500,265,FALSE
12,"09",NA,NA,NA,2,1,NA,NA,265,FALSE
9,"05",NA,NA,NA,2,1,NA,NA,265,FALSE
7,"05",NA,NA,NA,2,1,NA,NA,265,FALSE
3,"01",NA,NA,NA,2,1,NA,NA,265,FALSE
67,"17",10700,0,NA,2,1,0,20750,356,FALSE
69,"16",16400,0,NA,2,1,0,33150,356,FALSE
29,"21",0,71000,40,2,1,71000,71000,355,FALSE
27,"20",0,33000,20,2,1,33000,33000,355,FALSE
6,"03",NA,NA,NA,2,1,NA,NA,355,FALSE
4,"02",NA,NA,NA,2,1,NA,NA,355,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,355,FALSE
58,"21",0,90000,40,2,1,90000,90100,392,FALSE
58,"21",0,4500,20,2,1,5000,5000,392,FALSE
26,"21",0,4000,25,2,1,4000,4000,392,FALSE
20,"19",0,0,NA,2,1,0,0,392,FALSE
28,"20",0,0,NA,2,2,0,4800,253,FALSE
31,"11",0,90000,40,2,2,90000,90000,253,FALSE
11,"08",NA,NA,NA,2,2,NA,NA,253,FALSE
10,"06",NA,NA,NA,2,2,NA,NA,253,FALSE
9,"05",NA,NA,NA,2,2,NA,NA,253,FALSE
5,"02",NA,NA,NA,2,1,NA,NA,253,FALSE
3,"01",NA,NA,NA,2,1,NA,NA,253,FALSE
26,"21",0,48000,40,2,1,48000,48000,501,FALSE
24,"21",0,38000,41,2,1,38000,38000,501,FALSE
56,"19",0,25800,40,1,1,25800,36400,282,FALSE
33,"21",0,28000,60,2,1,28000,32500,250,FALSE
32,"18",0,65000,40,2,1,65000,65000,310,FALSE
34,"18",0,0,30,2,1,26000,26000,310,FALSE
9,"05",NA,NA,NA,2,1,NA,NA,310,FALSE
7,"04",NA,NA,NA,2,1,NA,NA,310,FALSE
7,"04",NA,NA,NA,2,1,NA,NA,310,FALSE
40,"16",0,0,50,2,1,18000,18000,120,FALSE
59,"21",0,2000,40,2,1,2000,2000,120,FALSE
32,"19",0,0,NA,2,1,0,0,368,FALSE
30,"21",0,92000,40,2,1,92000,92000,368,FALSE
4,"02",NA,NA,NA,2,1,NA,NA,368,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,368,FALSE
41,"16",0,35000,30,2,1,35000,35000,428,FALSE
43,"16",0,58000,40,2,1,58000,58000,428,FALSE
22,"19",0,19400,35,2,1,19400,19400,428,FALSE
15,"12",0,0,NA,2,1,NA,0,428,FALSE
69,"18",12000,0,NA,2,1,0,41000,501,FALSE
71,"19",28800,28000,35,2,1,28000,56800,501,FALSE
32,"21",0,0,5,2,1,800,800,326,FALSE
35,"21",0,95000,40,1,1,95000,95000,326,FALSE
8,"04",NA,NA,NA,2,1,NA,NA,326,FALSE
6,"03",NA,NA,NA,2,1,NA,NA,326,FALSE
3,"01",NA,NA,NA,2,1,NA,NA,326,FALSE
62,"17",6000,0,NA,2,1,0,6000,55,TRUE
19,"18",0,3200,20,2,2,3200,3200,55,TRUE
61,"21",0,24000,30,2,1,24000,24000,407,FALSE
57,"21",0,44000,40,2,1,44000,44000,407,FALSE
53,"19",0,0,40,2,1,60000,60000,231,FALSE
50,"20",0,0,NA,2,1,0,0,231,FALSE
21,"16",0,0,NA,1,1,0,0,231,FALSE
15,"12",0,0,NA,2,1,NA,0,231,FALSE
46,"22",0,420000,40,2,1,420000,420000,501,FALSE
41,"19",0,0,NA,2,1,0,0,501,FALSE
14,"11",NA,NA,NA,2,1,NA,NA,501,FALSE
12,"09",NA,NA,NA,2,1,NA,NA,501,FALSE
70,"03",7000,14000,27,2,1,14000,21000,220,FALSE
70,"15",12000,0,NA,2,1,0,12040,220,FALSE
65,"16",19500,50000,60,2,1,50000,85300,501,FALSE
39,"18",0,19400,36,2,1,19400,19720,501,FALSE
54,"19",23700,0,NA,1,1,0,23700,501,FALSE
54,"21",0,2100,20,2,1,2100,29100,321,FALSE
25,"21",0,20000,30,2,1,20000,20000,321,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,321,FALSE
25,"20",0,35000,40,2,1,35000,35000,321,FALSE
24,"20",0,14000,20,2,1,23000,21700,149,FALSE
22,"19",0,3000,10,2,1,3000,3000,149,FALSE
80,"22",22300,0,NA,2,1,0,91300,501,FALSE
77,"21",9900,0,NA,2,1,0,17400,501,FALSE
73,"21",21100,0,NA,2,1,0,57760,485,FALSE
32,"22",0,60000,40,2,1,60000,60000,461,FALSE
30,"21",0,170000,45,2,1,170000,170200,501,FALSE
67,"23",12000,5000,25,2,1,5000,17000,142,FALSE
39,"24",0,150000,50,2,1,150000,150000,501,FALSE
39,"21",0,0,NA,2,1,0,0,501,FALSE
15,"12",0,0,NA,2,1,NA,0,501,FALSE
13,"10",NA,NA,NA,2,1,NA,NA,501,FALSE
10,"07",NA,NA,NA,2,1,NA,NA,501,FALSE
76,"21",12000,0,NA,2,1,0,13600,284,FALSE
76,"21",28200,0,NA,2,1,0,29200,284,FALSE
54,"16",0,30000,40,2,1,30000,30000,233,FALSE
45,"17",0,2500,34,2,2,2500,2500,19,TRUE
38,"21",0,105000,50,2,1,105000,105000,501,FALSE
44,"21",0,420000,55,2,1,420000,421300,501,FALSE
8,"05",NA,NA,NA,2,1,NA,NA,501,FALSE
24,"21",0,10000,20,2,1,10000,10000,209,FALSE
26,"19",0,25000,40,2,2,25000,25000,209,FALSE
40,"21",0,150000,40,2,1,150000,150000,450,FALSE
40,"19",0,0,NA,2,2,0,0,450,FALSE
15,"12",0,0,NA,2,2,NA,0,450,FALSE
12,"09",NA,NA,NA,2,2,NA,NA,450,FALSE
10,"07",NA,NA,NA,2,2,NA,NA,450,FALSE
8,"05",NA,NA,NA,2,2,NA,NA,450,FALSE
56,"16",0,15000,30,2,1,15000,15000,335,FALSE
60,"16",0,52000,40,2,1,52000,52000,335,FALSE
23,"16",0,28000,40,2,1,28000,28000,335,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,335,FALSE
21,"16",0,11000,28,2,1,11000,11000,335,FALSE
49,"19",0,5000,40,2,1,5000,5000,41,TRUE
39,"17",0,3500,25,2,1,2000,2000,41,TRUE
72,"22",15200,0,NA,2,1,0,265800,501,FALSE
67,"21",6000,0,NA,2,1,0,6000,501,FALSE
65,"16",0,1e+05,20,2,1,1e+05,102000,501,FALSE
63,"16",220,0,NA,2,1,0,220,1,TRUE
29,"21",0,22200,25,2,1,24300,27100,159,FALSE
3,"02",NA,NA,NA,2,1,NA,NA,159,FALSE
25,"19",0,30000,25,2,1,30000,30000,361,FALSE
25,"21",0,30000,42,2,1,30000,30000,361,FALSE
67,"20",0,83000,40,2,1,83000,83000,325,FALSE
65,"21",0,11000,30,2,1,11000,11000,325,FALSE
36,"18",0,34000,48,2,1,34000,34000,325,FALSE
7,"04",NA,NA,NA,2,1,NA,NA,325,FALSE
5,"01",NA,NA,NA,2,1,NA,NA,325,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,325,FALSE
29,"16",0,0,NA,2,1,0,0,325,FALSE
10,"07",NA,NA,NA,2,1,NA,NA,NA,NA
58,"19",0,0,NA,1,1,0,0,71,TRUE
21,"16",0,6400,20,2,2,6400,6400,71,TRUE
19,"19",0,12000,20,2,1,12000,12000,71,TRUE
17,"13",0,0,NA,2,2,0,0,71,TRUE
27,"16",0,12000,30,2,2,12000,12000,59,TRUE
8,"05",NA,NA,NA,2,2,NA,NA,59,TRUE
5,"01",NA,NA,NA,2,2,NA,NA,59,TRUE
37,"19",0,25000,50,2,2,25000,25000,193,FALSE
67,"16",9900,0,NA,2,1,0,25500,375,FALSE
40,"20",0,31000,36,2,1,31000,31000,375,FALSE
82,"16",6700,0,NA,2,1,0,19300,323,FALSE
82,"24",17000,0,NA,2,1,0,17000,323,FALSE
39,"16",0,48000,54,2,1,48000,48000,323,FALSE
11,"08",NA,NA,NA,2,1,NA,NA,323,FALSE
74,"21",9600,0,25,2,1,400,20000,169,FALSE
42,"22",0,0,45,2,1,319000,319000,501,FALSE
40,"21",0,0,NA,2,1,0,0,501,FALSE
17,"14",0,0,NA,2,1,0,0,501,FALSE
16,"12",0,0,NA,2,1,0,0,501,FALSE
13,"10",NA,NA,NA,2,1,NA,NA,501,FALSE
11,"08",NA,NA,NA,2,1,NA,NA,501,FALSE
31,"24",0,70000,45,2,1,70000,70000,330,FALSE
31,"16",0,12000,15,2,1,12000,12000,330,FALSE
3,"01",NA,NA,NA,2,1,NA,NA,330,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,330,FALSE
56,"21",0,12000,30,2,1,36000,36000,501,FALSE
56,"21",0,23000,40,2,1,80000,80000,501,FALSE
30,"22",0,5700,40,2,1,11400,11400,501,FALSE
15,"12",0,0,NA,2,1,NA,4900,501,FALSE
30,"21",0,27400,99,2,2,27400,27400,210,FALSE
27,"21",0,45000,40,2,1,45000,45000,448,FALSE
24,"21",0,30000,40,2,1,30000,30000,448,FALSE
84,"14",5400,0,NA,2,1,0,5400,72,TRUE
79,"14",5400,0,NA,1,1,0,5400,72,TRUE
43,"12",0,23000,40,2,2,23000,23000,110,FALSE
23,"15",0,0,NA,2,2,0,0,110,FALSE
4,"02",NA,NA,NA,2,2,NA,NA,110,FALSE
1,NA,NA,NA,NA,2,2,NA,NA,110,FALSE
0,NA,NA,NA,NA,2,2,NA,NA,110,FALSE
22,"12",0,15000,40,2,2,15000,15000,110,FALSE
51,"16",0,80000,60,2,2,80000,80000,501,FALSE
48,"16",0,69000,50,2,1,69000,69000,501,FALSE
48,"16",0,115000,50,2,2,115000,115000,501,FALSE
17,"13",0,150,3,2,2,150,150,501,FALSE
42,"21",0,1900,20,2,1,1900,1900,42,TRUE
48,"19",0,14000,40,2,1,14000,14000,42,TRUE
12,"09",NA,NA,NA,2,1,NA,NA,42,TRUE
10,"07",NA,NA,NA,2,1,NA,NA,42,TRUE
8,"05",NA,NA,NA,2,1,NA,NA,42,TRUE
5,"02",NA,NA,NA,2,1,NA,NA,42,TRUE
2,NA,NA,NA,NA,2,1,NA,NA,42,TRUE
43,"21",0,19000,25,2,1,19000,19000,501,FALSE
52,"21",0,122000,45,2,1,122000,122000,501,FALSE
16,"14",0,2200,5,2,1,2200,2200,501,FALSE
13,"11",NA,NA,NA,2,1,NA,NA,501,FALSE
33,"21",0,0,NA,2,1,0,0,251,FALSE
33,"24",0,74000,60,2,1,74000,74000,251,FALSE
7,"03",NA,NA,NA,2,1,NA,NA,251,FALSE
4,"01",NA,NA,NA,2,1,NA,NA,251,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,251,FALSE
23,"19",0,3500,40,2,1,3500,3500,341,FALSE
23,"21",0,53000,40,2,1,53000,53000,341,FALSE
23,"04",0,0,80,2,2,8000,8000,27,TRUE
18,"09",0,0,NA,2,2,0,0,27,TRUE
6,"03",NA,NA,NA,2,1,NA,NA,27,TRUE
4,"01",NA,NA,NA,2,1,NA,NA,27,TRUE
2,NA,NA,NA,NA,2,1,NA,NA,27,TRUE
37,"17",0,50000,40,1,1,52000,52000,407,FALSE
34,"16",0,42000,40,2,1,42000,42000,329,FALSE
54,"14",0,0,NA,2,1,0,280,402,FALSE
56,"17",0,59000,48,2,1,59000,65900,402,FALSE
70,"19",9000,12000,3,2,1,12000,21000,178,FALSE
69,"20",23000,0,NA,1,1,0,58000,459,FALSE
70,"19",11000,0,NA,2,1,0,11000,459,FALSE
23,"21",0,880,10,2,1,880,880,83,TRUE
24,"19",0,13000,30,2,1,13000,13000,83,TRUE
41,"22",0,61000,40,2,1,61000,61000,166,FALSE
38,"19",0,0,NA,2,1,0,0,166,FALSE
14,"11",NA,NA,NA,2,1,NA,NA,166,FALSE
13,"09",NA,NA,NA,2,1,NA,NA,166,FALSE
10,"07",NA,NA,NA,2,1,NA,NA,166,FALSE
7,"04",NA,NA,NA,2,1,NA,NA,166,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,166,FALSE
42,"14",0,0,NA,2,1,0,0,351,FALSE
40,"01",0,85000,40,1,1,85000,85000,351,FALSE
18,"16",0,0,NA,2,1,0,0,351,FALSE
18,"17",0,5000,40,2,1,5000,5000,351,FALSE
61,"18",0,20000,50,2,1,20000,20000,501,FALSE
60,"21",0,55000,40,1,1,71000,71000,501,FALSE
44,"21",0,24000,24,2,1,24000,24000,450,FALSE
44,"22",0,125000,45,2,1,125000,125000,450,FALSE
16,"13",0,0,NA,2,1,0,0,450,FALSE
14,"11",NA,NA,NA,2,1,NA,NA,450,FALSE
12,"09",NA,NA,NA,2,1,NA,NA,450,FALSE
9,"06",NA,NA,NA,2,1,NA,NA,450,FALSE
70,"18",17700,0,NA,1,1,0,20600,174,FALSE
56,"22",0,145000,45,2,1,145000,145000,495,FALSE
47,"21",0,550,15,2,1,550,550,495,FALSE
14,"10",NA,NA,NA,2,1,NA,NA,495,FALSE
13,"09",NA,NA,NA,2,1,NA,NA,495,FALSE
10,"07",NA,NA,NA,2,1,NA,NA,495,FALSE
46,"18",0,53000,60,2,2,53000,58500,466,FALSE
44,"21",0,18000,32,2,2,18000,18000,466,FALSE
78,"14",17100,0,NA,1,1,0,17100,144,FALSE
35,"22",0,14600,18,2,1,14700,14700,123,FALSE
33,"21",0,0,80,2,1,10000,10000,123,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,123,FALSE
28,"20",0,15000,30,2,2,15000,15000,115,FALSE
65,"23",0,113000,40,2,1,113000,145500,501,FALSE
64,"22",0,77000,40,2,1,77000,77000,501,FALSE
29,"21",0,23200,40,2,1,23200,23420,501,FALSE
47,"21",0,35000,60,2,1,35000,35000,501,FALSE
46,"22",0,80000,75,2,1,80000,80000,501,FALSE
30,"16",0,45000,45,2,1,45000,45000,200,FALSE
29,"16",0,4900,20,2,1,4900,4900,200,FALSE
4,"01",NA,NA,NA,2,1,NA,NA,200,FALSE
1,NA,NA,NA,NA,2,1,NA,NA,200,FALSE
35,"21",0,39000,40,1,1,39000,39000,131,FALSE
34,"17",0,0,NA,2,1,0,0,131,FALSE
8,"05",NA,NA,NA,2,1,NA,NA,131,FALSE
5,"02",NA,NA,NA,2,1,NA,NA,131,FALSE
2,NA,NA,NA,NA,2,1,NA,NA,131,FALSE
27,"20",0,20000,40,2,1,20000,20000,154,FALSE
27,"21",0,8000,25,2,1,8000,8000,61,TRUE
48,"19",0,58000,40,2,1,58000,58000,501,FALSE
42,"16",0,35000,40,2,1,35000,35000,501,FALSE
18,"18",0,4000,20,2,1,4000,4000,501,FALSE
72,"21",27600,0,NA,2,1,0,52600,501,FALSE
71,"20",15600,0,NA,2,1,0,32600,501,FALSE
25,"20",0,0,NA,2,1,0,0,366,FALSE
30,"21",0,74000,40,2,1,74000,74000,366,FALSE
3,"01",NA,NA,NA,2,1,NA,NA,366,FALSE
